REQUEST,MOMENT,TIMESTAMP
PUT,BEGIN,1512596412896668654
PUT,END,1512596412916764874
PUT,BEGIN,1512596414119017053
PUT,END,1512596414130978492
PUT,BEGIN,1512596415333751363
PUT,END,1512596415349340153
PUT,BEGIN,1512596416552058353
PUT,END,1512596416568983115
PUT,BEGIN,1512596417770852796
PUT,END,1512596417781535615
PUT,BEGIN,1512596418982717711
PUT,END,1512596418992059678
PUT,BEGIN,1512596420193555513
PUT,END,1512596420203453062
PUT,BEGIN,1512596421404839069
PUT,END,1512596421415947390
PUT,BEGIN,1512596422618853382
PUT,END,1512596422643292787
PUT,BEGIN,1512596423846278914
PUT,END,1512596423861890977
PUT,BEGIN,1512596425063967802
PUT,END,1512596425075755883
PUT,BEGIN,1512596426276971165
PUT,END,1512596426286308034
PUT,BEGIN,1512596427488271342
PUT,END,1512596427502587481
PUT,BEGIN,1512596428705451149
PUT,END,1512596428724466732
PUT,BEGIN,1512596429926384096
PUT,END,1512596429937012946
PUT,BEGIN,1512596431140012242
PUT,END,1512596431161322481
PUT,BEGIN,1512596432364211019
PUT,END,1512596432385850020
PUT,BEGIN,1512596433588792506
PUT,END,1512596433603212151
PUT,BEGIN,1512596434804643636
PUT,END,1512596434821616230
PUT,BEGIN,1512596436024441929
PUT,END,1512596436040735453
PUT,BEGIN,1512596437242221359
PUT,END,1512596437251392376
